Product Name,brand,Discount price,discount_pct(%),Stars,Rating,Reviews,ram_gb,storage_gb,storage_type,processor_brand,processor_tier,processor_generation,is_gaming,premium_brand
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,MSI,37880.0,28.51,4.2,912.0,109.0,8.0,512.0,SSD,Intel,Mid,12,0,1
Lenovo ThinkBook 15 G5 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Think Book 15 G...,Lenovo,38990.0,45.85,4.1,76.0,5.0,8.0,512.0,SSD,AMD,Mid,0,0,0
Acer Aspire 3 Backlit Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin an...,Acer,29990.0,31.84,4.2,68.0,8.0,8.0,512.0,SSD,Intel,Entry,12,0,0
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,Thomson,28129.0,37.48,5.0,3.0,0.0,8.0,512.0,SSD,Intel,Entry,12,0,0
MSI Thin 15 Intel Core i7 12th Gen 12650H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,MSI,67990.0,19.05,0.0,0.0,0.0,8.0,1024.0,SSD,Intel,High,12,0,1
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ545WS Thi...,ASUS,51990.0,30.67,4.2,1915.0,105.0,16.0,512.0,SSD,Intel,Mid,12,0,0
HP G8 Series Intel Core i5 11th Gen IntelÂ® Coreâ„¢ i5-1135G - (8 GB/512 GB SSD/Windows 11 Home) 240 G8 B...,HP,37490.0,42.28,3.8,50.0,2.0,8.0,512.0,SSD,Intel,Mid,11,0,0
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,Lenovo,53390.0,23.61,3.8,53.0,5.0,16.0,512.0,SSD,Intel,Mid,12,0,0
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,HP,38990.0,23.75,4.2,5540.0,485.0,8.0,512.0,SSD,Intel,Entry,12,0,0
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,DELL,36490.0,26.01,4.2,1805.0,143.0,8.0,512.0,SSD,Intel,Entry,12,0,0
Acer Chromebook (2024) Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C...,Acer,16990.0,50.03,3.7,354.0,22.0,8.0,128.0,EMMC,Intel,Entry,0,0,0
HP 2023 Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and...,HP,49990.0,28.65,4.2,2043.0,117.0,8.0,512.0,SSD,Intel,Mid,12,0,0
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,Lenovo,40490.0,38.36,4.0,123.0,7.0,8.0,512.0,SSD,AMD,Mid,0,0,0
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,HP,36990.0,27.85,4.2,3102.0,221.0,8.0,512.0,SSD,Intel,Entry,12,0,0
Lenovo IdeaPad Slim 1 (2024) AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | ...,Lenovo,35990.0,34.67,4.2,4232.0,410.0,8.0,512.0,SSD,AMD,Mid,0,0,0
Lenovo IdeaPad Slim 5 (2024) Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8...,Lenovo,66990.0,33.47,4.1,385.0,48.0,16.0,512.0,SSD,Intel,Mid,13,0,0
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO Busine...,MSI,41990.0,20.76,4.8,4.0,1.0,16.0,512.0,SSD,Intel,Mid,12,0,1
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...,Thomson,27490.0,31.26,5.0,3.0,0.0,8.0,256.0,SSD,Intel,Entry,12,0,0
